model,selector,method,mase_ratio,mase_change_pct,flops_saved_pct,harm5_pct,coverage_pct,n_cells,n_instances,source,on_selector_pareto,on_union_pareto
Chronos2-Base,ExtraTrees,dense_052,1.0365730230817969,3.6573023081796885,86.94441819602459,23.988021535054465,76.05888866464116,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_053,1.038351300792323,3.8351300792323073,87.37563581049503,24.713765961740915,76.6779942071358,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_054,1.0408474010246438,4.084740102464379,87.78847858001278,25.4302374419759,77.2883722706173,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_055,1.041722744962128,4.172274496212802,88.17578378910676,26.241620256478786,77.92902377692563,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_056,1.0433403382507254,4.334033825072536,88.54874167060177,27.021638693278206,78.60703980275898,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_057,1.0469624434419373,4.696244344193734,88.89753102713539,27.80602086958419,79.27305554494924,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_058,1.049812945878915,4.981294587891494,89.22017870088077,28.58440290406864,79.94752603243349,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_059,1.055154133161907,5.515413316190698,89.53018964150581,29.306874526125164,80.57290445046883,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_060,1.0567515363226587,5.675153632265872,89.8218835261094,30.01380032618953,81.18464618254613,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_061,1.0611518649366918,6.115186493669178,90.09807838237882,30.662088376634355,81.76911454270737,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_062,1.065848518662683,6.584851866268293,90.38104979340191,31.364650437192154,82.39340202586607,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_063,1.0709997363816104,7.099973638161039,90.65260071396962,32.04403013162129,83.00023455099847,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_065,1.0804085780138122,8.040857801381218,91.16322931801302,33.41260793436936,84.21771787333155,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_066,1.0838758362244858,8.387583622448581,91.40336326386218,34.094169498551786,84.78309487315154,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
