model,slug,method,n_seeds,mase_change_pct,mase_change_pct_seed_std,flops_saved_pct,flops_saved_pct_seed_std,harm5_rate,harm5_rate_seed_std,coverage,coverage_seed_std
PatchTST-FM-R1,patchtst_fm_r1,balanced,5,0.09120017151556192,0.16933053914928153,7.594685261724058,3.158320800806372,0.009263256584685138,0.003613212448484254,0.13910637973137974,0.042698406302238215
PatchTST-FM-R1,patchtst_fm_r1,efficiency,5,0.4614247890967915,0.2629797790707086,40.80249738648435,6.160715244640804,0.06262918628990055,0.005688458860001842,0.4256993502529217,0.025185231747402222
PatchTST-FM-R1,patchtst_fm_r1,max_efficiency,5,0.748632079930367,0.31471247829779,49.44590807090627,5.791909336644937,0.07909689516832372,0.005534917739533941,0.4765267966160823,0.024020184548031415
Sundial-Base-128M,sundial_base_128m,balanced,5,0.03057875751165895,0.025487494338647956,0.46137192761805945,0.1519776678383883,0.022302931152010888,0.01067596240580825,0.3333093387866394,0.05217310124611702
Sundial-Base-128M,sundial_base_128m,efficiency,5,0.1839284902286531,0.07694931348470235,3.3203924262927442,0.40655572833391523,0.10651124744376277,0.01746307887809031,0.524547511929107,0.03299866592180752
Sundial-Base-128M,sundial_base_128m,max_efficiency,5,0.317590769848084,0.0704874703582784,4.386707360275158,0.585440315762267,0.14784130879345603,0.020577061334683195,0.5743950920245399,0.036419819574756665
TimesFM2.5-200M,timesfm2p5,balanced,5,0.012090561997504246,0.002933591840458406,6.138058390956742,1.9297566564306987,0.0034662149075066636,0.0012507723706978282,0.12302307627255046,0.02973019996978944
TimesFM2.5-200M,timesfm2p5,efficiency,5,0.47344014403536416,0.08609738376261919,54.28571331805055,1.7001706264324061,0.07123445372878626,0.005038982167514948,0.47950852095251345,0.031239179439493926
TimesFM2.5-200M,timesfm2p5,max_efficiency,5,0.8055933101577795,0.08999581502704218,64.35405633676366,2.3613482844267764,0.09905692547337863,0.009362488076131895,0.5516617698810858,0.031671431681759385
TiRex2,tirex2,balanced,5,0.016263826863309738,0.008788832278625189,0.0,0.0,0.003409856087061995,0.004166494479126183,0.06712629389426392,0.04823927306690462
TiRex2,tirex2,efficiency,5,0.5195871045612188,0.16442749863183317,0.0,0.0,0.06939062589451471,0.015393191567709491,0.48200338586605385,0.08088234810554971
TiRex2,tirex2,max_efficiency,5,0.922570136211398,0.2363133857902479,0.0,0.0,0.0947802594740185,0.020219457638108278,0.5596220479309959,0.0741350702165832
Toto-2.0-313m,toto_2_0_313m,balanced,5,0.0004257396746965014,0.0009482595665991115,0.002185598548787304,0.004856897767888553,3.2713770861844284e-05,7.315021544743569e-05,9.159855841316163e-05,0.00020330006760485342
Toto-2.0-313m,toto_2_0_313m,efficiency,5,0.5524812464412898,0.11346234792492907,32.991805655221256,5.099416304032098,0.08199979281278454,0.01919704138221038,0.44701132441701336,0.14136901395694265
Toto-2.0-313m,toto_2_0_313m,max_efficiency,5,1.162069185747967,0.23777339166008876,41.135182202826954,4.068949553069699,0.09934408889422001,0.019777720160650648,0.4796798412291654,0.13268643794318197
