dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_service/10S/long,Chronos-2-Synth,130956.16338624338,130956.16338624338,77.27796957671957,1.343717417776477,0.08910345491278109,0.08312263609871032,16.963064942220985,361.87865837355395,0.2680912790930465,0.05724999037702389,0.050813511989174276,Web/CloudOps,2
bizitobs_service/10S/medium,Chronos-2-Synth,14023.939047619047,14023.939047619047,29.982487599206348,0.9460166953408063,0.07152118016803076,0.060839398096478176,10.219241616946563,118.42271339409112,0.08912771409707064,0.022565524012003985,0.017060509831761866,Web/CloudOps,2
bizitobs_service/10S/short,Chronos-2-Synth,1697.0586243386244,1697.0586243386244,17.232896825396825,0.7436720250917929,0.07022247152984458,0.05426697746155754,5.8999230945052785,41.1953713945951,0.030518848112036662,0.012766680890117843,0.009940853853407166,Web/CloudOps,2
car_parts/M/short,Chronos-2-Synth,1.3839921481235262,1.3839921481235262,0.45368274147963167,0.8359226680147035,0.8512076452895977,1.9068825535364355,15.474058219114315,1.176431956435869,2.8209631526259273,1.087884675093083,0.9509235410734131,Sales,1
covid_deaths/D/short,Chronos-2-Synth,429949.3373433584,429949.3373433584,106.54495614035088,29.88446124481787,0.08313788525834324,0.35424593588463343,482.36102002924895,655.7052213787522,0.24671228057233185,0.04008805825519208,0.03305528585678907,Healthcare,1
electricity/15T/long,Chronos-2-Synth,345423.34145345347,345423.34145345347,59.83367661411411,0.8853972478829217,0.1269324583519535,0.1320987013624953,8.073243201743978,587.7272679172318,0.9272117937359903,0.0943949577425508,0.07708468672235487,Energy,1
electricity/15T/medium,Chronos-2-Synth,267754.98054054054,267754.98054054054,53.62474141328829,0.8300065425938451,0.12317424524634973,0.12982086044174057,7.463443402025155,517.4504619193422,0.8916192522607155,0.09240082937454829,0.07486100279640806,Energy,1
electricity/15T/short,Chronos-2-Synth,132087.32486486487,132087.32486486487,49.346680567286036,0.9663953622202821,0.1561490192550028,0.16212189545502534,11.321251323527775,363.43819951246854,0.7164083300571827,0.09727203432797597,0.08204097748186358,Energy,1
electricity/D/short,Chronos-2-Synth,1406202622.0627027,1406202622.0627027,4262.968216216216,1.3962842131175988,0.23677406344177618,0.09302860184403153,10.826249597562741,37499.368288848586,0.6162391567414234,0.07005472515007087,0.055309948339465426,Energy,1
electricity/H/long,Chronos-2-Synth,10339854.32984985,10339854.32984985,304.97680480480483,1.254369112068842,0.29643916012087,0.14579578406531532,11.893301674672545,3215.5643874520456,1.2682176433316403,0.12028276161089041,0.09760427734375655,Energy,1
electricity/H/medium,Chronos-2-Synth,6824298.111711712,6824298.111711712,259.986722972973,1.1144176101174572,0.24051122402711822,0.13279026065860783,10.245041318070836,2612.3357578442537,1.0196807339142613,0.1014813856499874,0.0831267589443106,Energy,1
electricity/H/short,Chronos-2-Synth,2305910.6194594596,2305910.6194594596,196.86168637387388,1.0568440483812842,0.1627461825798434,0.13838065551207945,12.985249011991181,1518.5225120028545,0.7168510692482831,0.09293277462511955,0.07866249698729341,Energy,1
electricity/W/short,Chronos-2-Synth,70140608482.47928,70140608482.47928,31369.884684684686,1.4250855317322035,0.12389578224306297,0.09233172476828636,11.433969613072982,264840.72285522724,0.6042791318307777,0.0715757247545918,0.055819043931957836,Energy,1
ett1/15T/long,Chronos-2-Synth,12.038900049603175,12.038900049603175,1.704739273313492,1.057462354308891,0.8588890776904113,0.3907097904265873,9.12495480212906,3.4697118107420932,0.661330501779421,0.3249249910419426,0.26142114997630717,Energy,7
ett1/15T/medium,Chronos-2-Synth,11.308136160714286,11.308136160714286,1.6527447606646826,1.0211817552048705,0.7862688156076661,0.3836623031374008,8.035749854006646,3.3627572259552556,0.6409447764215256,0.3150147482933898,0.2462622293809939,Energy,7
